number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,2,0,4,0,"Become hysterical, with ""out""",3,WIG
4,7,0,10,0,Elided title,4,MAAM
8,12,0,15,0,Restaurant competitor of Pinkberry and Sweet Frog,4,TCBY
12,17,0,20,0,"Catchy tunes, informally",4,BOPS
16,1,1,4,1,Sigh of lament,4,AHME
17,6,1,10,1,Where dancers have a ball?,5,DISCO
18,12,1,15,1,McFlurry mix-in,4,OREO
19,17,1,20,1,Furniture giant,4,IKEA
20,0,2,4,2,Bad flight forecast,5,SLEET
21,6,2,10,2,Reason,5,INFER
22,12,2,15,2,Hierarchy level,4,RUNG
23,17,2,17,2,Certain U.S. time zone,1,
24,0,3,13,3,"Economizing, as represented by the circled squares?",14,CUTTINGCORNERS
27,15,3,19,3,"""The bad news is …""",5,IFEAR
29,0,4,2,4,"WhatsApp transmissions, briefly",3,IMS
30,4,4,8,4,Navy nay,5,NOSIR
31,11,4,17,4,"Seizes eagerly, as an opportunity",7,LEAPSON
33,3,5,7,5,"Sean of ""Stranger Things""",5,ASTIN
34,9,5,11,5,"Part of an M.C.'s intro, often",3,BIO
36,13,5,20,5,Prohibition target,8,DEMONRUM
40,0,6,14,6,"Economizing, as represented twice in 12-Down?",15,PINCHINGPENNIES
45,16,6,20,6,"""The Crown"" role",5,DIANA
46,0,7,4,7,Colorful kind of shirt,5,ALOHA
47,8,7,10,7,"Offering from Dr. Mom, in brief",3,TLC
48,12,7,20,7,Senior partners?,9,PROMDATES
50,0,8,2,8,"___ Hill, neighborhood of San Francisco",3,NOB
51,4,8,6,8,"Bussing on a bus, for short",3,PDA
54,8,8,12,8,Memorable mission,5,ALAMO
56,14,8,20,8,"""You've made your point,"" slangily",7,SAYLESS
57,0,9,7,9,Lead-in to an opinion,8,ASISEEIT
60,10,9,13,9,Zip,4,NADA
62,15,9,17,9,From not so long ago,3,
63,0,10,3,10,Parts of a gig,4,MEGS
64,5,10,9,10,Scrapbooker's project,5,ALBUM
67,11,10,15,10,"Honesty, resilience or a sense of humor, perhaps",5,ASSET
69,17,10,20,10,Shield of ancient Greece: Var.,4,EGIS
73,3,11,5,11,Manhattan is one: Abbr.,3,ISL
75,7,11,10,11,Attempt,4,STAB
77,13,11,20,11,Work that hasn't yet entered publication,8,PREPRINT
