Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,quoted clues,contains dir.
9/25/2021,NNE,Raleigh-to-Richmond dir.,Other,,False,2,24,4,False,False,False,False,1,False,11.5,0,0.0,0.125,False,False,False,True
9/10/2021,ESE,Paris-to-Zurich dir.,Other,,False,2,20,4,False,False,False,False,1,False,9.5,0,0.0,0.15,False,False,False,True
9/3/2021,ESE,Senegal-to-Togo dir.,Other,,False,2,20,4,False,False,False,False,1,False,9.5,0,0.0,0.15,False,False,False,True
8/29/2021,NNE,Taipei-to-Seoul dir.,Other,,False,2,20,4,False,False,False,False,1,False,9.5,0,0.0,0.15,False,False,False,True
7/8/2021,NNE,Nashville-to-Louisville dir.,Other,,False,2,28,4,False,False,False,False,1,False,13.5,0,0.5,0.10714285714285714,False,False,False,True
5/25/2021,NNE,Little Rock-to-Chicago dir.,Other,,False,3,27,5,False,False,False,False,1,False,8.333333333333334,0,0.3333333333333333,0.1111111111111111,False,False,False,True
4/24/2021,NNE,Dallas-to-Duluth dir.,Other,,False,2,21,4,False,False,False,False,1,False,10.0,0,0.5,0.14285714285714285,False,False,False,True
4/3/2021,NNE,Buenos Aires-to-Brasília dir.,Other,,False,3,29,6,False,False,False,False,1,False,9.0,0,0.6666666666666666,0.13793103448275862,False,False,False,True
3/7/2021,ENE,Memphis-to-Nashville dir.,Other,,False,2,25,4,False,False,False,False,1,False,12.0,0,0.5,0.12,False,False,False,True
1/27/2021,WSW,Indianapolis-to-St. Louis dir.,Other,,False,3,30,6,False,False,False,False,2,False,9.333333333333334,0,0.6666666666666666,0.13333333333333333,False,False,False,True
12/6/2020,SSE,Orlando-to-Miami dir.,Other,,False,2,21,4,False,False,False,False,1,False,10.0,0,0.0,0.14285714285714285,False,False,False,True
11/30/2020,ENE,Toronto-to-Montreal dir.,Other,,False,2,24,4,False,False,False,False,1,False,11.5,0,0.0,0.125,False,False,False,True
11/19/2020,NNE,Fort Myers-to-Orlando dir.,Other,,False,3,26,5,False,False,False,False,1,False,8.0,0,0.6666666666666666,0.11538461538461539,False,False,False,True
10/21/2020,ESE,Wyoming-to-Missouri dir.,Other,,False,2,24,4,False,False,False,False,1,False,11.5,0,0.0,0.125,False,False,False,True
10/18/2020,NNE,Pittsburgh-to-Buffalo dir.,Other,,False,2,26,4,False,False,False,False,1,False,12.5,0,0.0,0.11538461538461539,False,False,False,True
10/9/2020,SSE,Chicago-to-Indianapolis dir.,Other,,False,2,28,4,False,False,False,False,1,False,13.5,0,0.0,0.10714285714285714,False,False,False,True
9/26/2020,WNW,Asheville-to-Knoxville dir.,Other,,False,2,27,4,False,False,False,False,1,False,13.0,0,0.5,0.1111111111111111,False,False,False,True
8/13/2020,ENE,Las Vegas-to-Denver dir.,Other,,False,3,24,5,False,False,False,False,1,False,7.333333333333333,0,0.6666666666666666,0.125,False,False,False,True
7/7/2020,ENE,New Mexico-to-Missouri dir.,Other,,False,3,27,5,False,False,False,False,1,False,8.333333333333334,0,0.6666666666666666,0.1111111111111111,False,False,False,True
